Tidstämpel,Which task does this form consider?,What is the level of your group?,Did you find this task engaging?,"OPTIONAL: Comment on the level of engagment (what was the least engaging part, anything you'd change, etc):","How many hours did you spend on this exercise? If more than ten, please leave a comment.","OPTIONAL: Comment on the time consumption (did you find something confusing, were there a lack of examples, etc):",How  would you rate the difficulty of this exercise?,"OPTIONAL: Comment on the task difficulty (if something was particularly easy or hard, suggestions etc)",OPTIONAL: Any other feedback that comes in mind that could improve the task:
2022-09-08 17.08.27,7,I don't know,1,poor test quality,5,It was very reasonab le,3,It was hard to read with all the emoji's,
2022-09-09 14.54.35,1,Plus,4,,1,"I found the tips a little confusing, and felt like more guidance in what we're coding and how would be more helpful (fx. tutorials.)",1,See prior comment,better explanations
2022-09-09 14.54.57,1,Plus,7,,2,,1,,
2022-09-09 14.55.36,1,Regular,4,It felt a little backwards thinking to make a code where you would have to change a value on two places to change the function of the code. This probably only applies to people who have programmed before.,1,"No very easy, took about 15-20 min.",1,"Very easy but good for a first assignment,","No, good first task."
2022-09-09 14.55.42,1,"Regular, Plus",3,,3,kodskrivandet var inte så svårt men det svåra var att sätta upp git och sånt,5,,
2022-09-09 14.56.39,1,"Regular, Plus",4,,2,Git was confusing.,2,,
2022-09-09 14.57.12,1,"Regular, Plus",2,,3,Allt med terminalen och github va förvirrande och svårt att förstå ,7,Koden var enkel ,Det borde vara en genomgång av hur man konfigurerar allt med nycklar och grejer 
2022-09-09 14.57.48,1,"Regular, Plus",4,,2,,2,,I think that it was a good introduction task and that it should be accomplished by anyone. Even if you have no experience within programming (assuming that you seek out help online and/or with the datalab)
2022-09-09 14.57.54,1,"Regular, Plus",7,,2,I took more time for me as I had an issue with committing the files with git. When I had that sorted out it didn't take too long to finish the assignment.,2,,
2022-09-09 14.59.44,1,"Regular, Plus",2,Very easy programming wise. No real problem solving involved. Probably a good intro task to teach absolute beginners.,1,"It could be a bit clearer where you were supposed to find the information required since we use so many online resources such as kth, git, kth modules, OLI modules, lecture slides etc.",1,An even level of difficulty.,I think it was a good first task.
2022-09-09 15.00.19,1,"Regular, Plus",3,"Having no prior experience in Java, the task had some problemsolving with trying to figure out what each part of the syntax did which was quite engaging. In the end though, The tasks were quite quick to get done and there wasn't to much depth to it. I wouldn't consider this a complaint though, after all this is the first task and many are still struggling with git and the terminal.",1,I feel like the biggest time consumption was struggling against git rather than the exercises on their own.,4,"The task in and of itself isn't that hard. However, the task came before many had setup git and many were confused because of this. I would also say that the task felt like being thrown in the deep end. I get that the structure of Java and OOP combined with many at Data already having programming experience but I definitely think the task expected some prior knowledge. In the end, for me atleast, it felt like an appropriate place to start and I'm now finding my stride in Java but then again, I have some programming experience and am in regular/plus. ",I would just like to add that I think that many are still struggling with git and the terminal which is making the task appear more difficult than it actually is having to fight against two systems at once.
2022-09-09 15.13.39,1,Regular,5,,4,,4,,
2022-09-09 15.14.38,1,Regular,4,,1,,4,,
2022-09-09 15.14.55,1,Regular,5,More info about how to code in java before the assignment.,2,,3,,
2022-09-09 15.15.04,1,Regular,6,,2,,2,,
2022-09-09 15.15.18,1,Regular,5,,2,,2,,
2022-09-09 15.15.21,1,Regular,7,,3,"The only problem I had was git, and vscode",3,,
2022-09-09 15.15.53,1,Regular,5,,2,,3,,
2022-09-09 15.16.23,1,Regular,6,,5,,6,I would appreciate if we had gone through the task a bit more.  ,
2022-09-09 15.16.36,1,Regular,5,Getting to know git and navigating the file explorer with the terminal was fun,2,,2,,
2022-09-09 15.17.11,1,Regular,6,Least engaging part was answering the pretty easy questions I markdown,4,At first I didn't understand that I hade to use Return when defining the method. ,3,,
2022-09-09 15.17.41,1,Regular,2,It didn’t feel very engaging because I felt like the information for some parts of the task was a bit up in the air (such as returning how to value from a method although I knew how to do it through C#). But the OLI felt pretty engaging with the questions that you had to answer while reading. What I would change is to make it a bit clearer on how to return values from a method.,2,I think the task would have gone by a bit faster if the Arithmetic assignment specified some mroe things,2,,
2022-09-09 16.19.51,1,Beginner,6,It was hard to find out hot to test my methods by adding functions to call them in main,4,Going from 0 Java knowledge to completing the task was somewhat challenging,3,,
2022-09-09 16.19.53,1,Beginner,2,,6,everything was really hard,7,everything really hard,start from lower level for beginners
2022-09-09 16.20.39,8,Beginner,5,,9,,7,,
2022-09-09 16.21.01,1,Beginner,3,Feeling overwheld at task 1.3,8,Moving from the helloworld.java to arithmetic.java was a big leap and took alot of time,6,"Not understanding objects and methods, so that even though a large portion of code was given i didn't really understand what to do to complete the task.",Bluej helped alot so having  having used it sooner would have been good
2022-09-09 16.21.29,1,Beginner,7,I would like to know more of the specific words of the code i am given means,7,"Yes the return command, did not even know that bastard existed ",5,It was hard mainly due to the fact that it felt like we did not get all the info hence the time spent finding the return command,Overall more information about code given in the assignment so you know what you get errors on
2022-09-09 16.21.50,1,Beginner,7,,10,The most difficult thing was to understand the relationship between git and the terminal on my computer.,5,"It was difficult to understand how to run two or three codes at once. For example it was easy to run the sum code, difference code and average code separately. But it was quite confusing how to run them all together, which was the assignment. ",
2022-09-09 16.21.54,1,Beginner,4,,4,More examples would have been neat,5,Understanding what each line and word did. How to write the method. ,
2022-09-09 16.22.02,1,Beginner,7,Den var absolut givande men utan hjälp av kompisar hade jag aldrig löst den så kanske skulle behövas en mer noggrann förklaring för varje steg  ,5,,6,,
2022-09-09 16.22.12,1,Beginner,7,I still had alot to learn and fix from the introduction programming tasks. The project was fun to execute,9,As a begginer to programming this most of the contents was confusing,6,I found it to be difficult since I did not fully complete it yet,
2022-09-09 16.23.55,5,Beginner,4,,4,"I had some problems with the terminal, but besides that no. ",4,Managing the terminal was hard. ,
2022-09-09 16.23.59,1,Beginner,4,,10,,5,Too few examples ,
2022-09-09 16.24.35,1,Beginner,5,,5,Tyckte det var jobbigt att bolla runt med canvas git och oli för första uppgiften. ,6,,Kanske ha nån introduktion där man får lära känna övningsgruppen och assen innan första inlämningen. Var svårt att vända sig till nån med frågor.
2022-09-09 16.24.49,1,Beginner,7,,5,"Yes, I think this assignment came too quick without us knowing how to do it. I struggled a lot in the beginning but sitting with friends saved me and I could finally solve it on my own. I think setting up a SSH key and learning about github more in detail and how to push and stuff should be part of the first övning or föreläsning, and the assignment should come after it. It was a lot of self-learning (with some videos and instructions to help) but I feel like if you don't have any experience coding, you should have lessons going over the basics and the stuff I just mentioned so you understand and don't have to be worried at home.",6,It was hard when I didn't understand but seemed easy after I was done.,Help with the result part which was left out of the instruction as this is our first programming assignment.
2022-09-09 16.25.07,1,Beginner,3,,5,"I found the setup of the programs such as git, github, terminal, vscod, how to clone to git very confusing. That was the most time consuming task, more than the actual task.  ",7,"I did not understand the task at all. Firstly, i dont understand what java, or github or terminal, vscode they are and what they are used for. Am i programming in Java or vscode? i dont understand, what are they? 
Secondly i did not understand the code at al. What is public and so on. 
To be honest my classmates helped me throughout the whole thing. ",Mabey have a introduction for begginers befor giving them a task?
2022-09-09 16.25.26,1,Beginner,1,,10,"Har aldrig programmerat så allt är nytt. Behövde spendera massor av tid på internet för att hitta förklaringar. Samt upplevde jag  inte det som tydligt vad som exakt skulle användas i alla exempel, vilket gjorde att jag behövde kolla upp flera exempel.   ",7,,
2022-09-09 16.30.21,1,Regular,4,,1,,1,,
2022-09-09 16.44.17,1,Regular,7,,10,,7,,
2022-09-09 16.44.35,1,Regular,7,,4,,5,,
2022-09-09 16.44.48,1,Regular,3,,5,"First time programming, did a lot of reading besides just trying to solve the questions",3,,
2022-09-09 16.44.50,1,Regular,5,,6,,1,,
2022-09-09 16.45.03,1,Regular,5,,2,,2,,
2022-09-09 17.02.04,1,Regular,5,For someone who never programmed in java it was a bit difficult to know some of the rules and terms. For example what a arim,7,The reason why I got so many hours was because I could'n get my code to run. This was something I had to get fixed using the terminal. So technically it wasn't part of the assignment,4,"It wasn't particularly difficult, it was just me who didn't know the rules of java.",Explaining a bit more what each code does. Like what glassey are or arimatics. 
2022-09-09 19.05.50,1,Regular,5,,3,I had som problems with the GIT system initially which is not part of the 3h above,3,Hard to say as I had previous experience from another prog.lang. which helped ,I thought it was well instructed
2022-09-09 19.09.16,1,Beginner,6,,6,,6,Working out the syntaxe when creating the methods and understanding tha main method was the most difficult part for me,"Add the src directory for next year, it was missing and we had to add it ourselves even though it wasn't specified in the instructions "
2022-09-09 19.46.44,1,Regular,3,Upploading from terminal to git and create metods were engaging.,10,,4,,
2022-09-09 21.14.47,1,I don't know,6,,8,,2,,
2022-09-10 12.18.17,1,Plus,5,"It was a bit unclear what to do in the begining, but the task was clear once you get started.",4,"Most of the time was spent on preperation, the programing itself took less than an hour.",2,The tasks themselves were quite easy but suitable as the first task.,
2022-09-11 15.36.31,1,Regular,4,It was fun learning about git since I haven't worked in git before. How,3,The programming was very easy and the questions were a qick way to verify that we know the expectations places on us.,3,,
2022-09-12 08.16.50,1,Regular,6,,3,"I spent less then 60min on the code, most time was spent on the instalment of vs and similar stuff.",2,,It was a nice soft start. Made me less anxious about the rest of the course 
2022-09-12 11.40.48,1,Beginner,3,The lack of (real life) help during the execution of the exercise made me less eager to read into the exercise more deeply. I don't feel like I've learned very much. It might have been the difficulty (easy-ness) of the exercise that made me feel this way though.,4,I would have extreme problems with my terminal on Windows if I didn't have help from friends. I didn't find much help online or in the repos.,2,The only hard part was getting everything started on windows.,I'm still eager to learn :)
2022-09-16 10.44.33,1,Regular,5,,1,,2,,
2022-09-16 13.13.53,1,Regular,4,,1,"It was not particularily clear as a beginner where I should start, since I hadn't learnt any Java syntax praxis yet.",3,,
2022-09-16 13.14.37,1,Regular,5,,1,,2,easy,
2022-09-16 13.14.37,2,Regular,5,,5,,5,,
2022-09-16 13.14.57,1,Regular,7,,3,,4,,
2022-09-16 13.15.04,2,Regular,5,,2,,3,,
2022-09-16 13.15.05,1,Regular,5,,1,Confusing in the example when a double changed to an int,3,,
2022-09-16 13.15.12,2,Regular,5,,2,,5,,
2022-09-16 13.16.01,2,Regular,5,,3,,3,,
2022-09-16 14.07.02,2,Beginner,4,,5,,4,,
2022-09-16 14.07.05,2,Beginner,6,,2,,4,,
2022-09-16 14.07.07,2,Beginner,5,,4,,6,,
2022-09-16 14.07.41,2,Beginner,6,,5,,5,,
2022-09-16 14.08.03,2,Beginner,4,Would be more enjoyable to combine all exercises into one final exercise,3,"Not at all, perhaps to find out how to identify colors in 2.5 when I tried to create a new Horse object",3,Well explained in the OLI ,
2022-09-16 14.08.29,2,Beginner,6,,8,"public void theAttack(Indamon defender){   ""Indamon defender"" part",6,it was at a very good level,
2022-09-16 14.08.32,2,Beginner,5,,7,,7,,
2022-09-16 14.08.34,2,Beginner,5,,8,,6,,It was not obviuous to me at first that the lecture and this task was related. The powerpoint was more helpful for the last task!
2022-09-16 14.09.12,2,Beginner,7,printInfo( ),6,"Certain parts were unclear, for example the constructor and getters & setters part were not easily followed, mostly because of lack of knowledge of the terminology.",6,,
2022-09-16 14.09.22,2,Beginner,6,,8,,4,,"For me as a beginner, sometimes if feels like we could need some more information to fully understand the assignment, things people in for example regular already know about. I try to reed the book and the extra links that are linked on git but I personal would want some more info so I can fully understan the assignment. "
2022-09-16 14.09.26,2,Beginner,5,,4,Maybe an example of how to setup the attack method.,5,,
2022-09-16 14.09.36,2,Beginner,6,,6,I do not remember how long it took me but it around 5 to 7 hours,4,,
2022-09-16 14.09.49,2,Beginner,7,,10,,5,,
2022-09-16 14.55.12,2,Regular,3,,1,,2,,
2022-09-16 14.55.34,2,Regular,6,,3,,5,,
2022-09-16 14.56.38,2,Regular,4,,1,,2,,
2022-09-16 14.57.22,2,Regular,7,Utmanande. Vet inte om det beror på att jag är ny på programmering.,10,Spenderade väldigt mkt tid på att förstå hur saker hänger ihop. Kanske inte uppgiftsspecifikt. ,5,Rätt svårt pga är newbie :),(y)
2022-09-16 14.58.00,2,Regular,4,,10,Find the instructions in git a bit hard to understand. Had to go through all of the links which where hard to understand at first.,5,,
2022-09-16 14.58.06,2,Regular,4,TA should discuss smart solutions for the week's tasks.,4,,4,Could not understand why setters and getters should be used.,
2022-09-16 14.58.24,2,Regular,5,,6,Literature is hard to decipher.,4,,
2022-09-16 14.58.57,2,Regular,5,"Some unclear information, in particular regarding where the reading material was (OLI module 2 vs 3)",5,What I couldn't find anywhere in the reading material was having two objects interact (the attack function for the indamon) and basically guessed my way forward.,4,,
2022-09-16 14.59.06,2,Regular,5,I had a problem with printInfo() which took some time to fix,3,,5,,
2022-09-16 14.59.25,2,Regular,7,I think there should've been a better guide for compilers as it took me around an hour to understand how compiling works the first time around (although I've gotten the hang of it now),2,Most of the time was just spent trying out different methods but the constructor to quite a long time to construct (haha construct a constructor),3,,
2022-09-16 15.00.24,3,Regular,7,no,6,,5,,
2022-09-16 15.01.09,2,Regular,5,Attackmetoden,3,,4,,
2022-09-16 15.02.24,2,Regular,3,the most engaging part was getting the code to work and using the attack method ,3,I don’t know the templates for methods and accessors so that made it difficult to understand what code to write (I did miss the lecture concerning Task 2 due to sickness) ,5,"attaching a symbol/id to a method, in examples given was “glassey.” used to separate the Indamon from the other indamon. how to code that the printInfo method would print glassey info and not the other was hard to figure out. ",
2022-09-16 15.03.47,2,Regular,5,Fun and intuitive for the most part.,3,"The usage of an object as an argument was a bit confusing and was not hinted at or explained in any part of the instructions, which took to asking fellow students for help to understand.",3,,Adding a hint or two to the 2.4 part.
2022-09-16 15.07.03,2,Regular,6,,4,,5,,
2022-09-16 15.07.07,2,Regular,5,,6,,3,,
2022-09-16 15.07.15,2,Regular,5,,3,,4,,
2022-09-16 15.08.13,2,Regular,3,,2,I did most of my code before realising what variable shadowing was,2,,
2022-09-16 15.09.00,2,Regular,7,,2,,2,,
2022-09-16 15.09.10,2,Regular,5,,3,,4,,
2022-09-16 15.09.12,2,Regular,6,,2,,2,,
